score,threshold,retained_fraction,abort_fraction,conditional_failure,selected_patterns_or_shots,ci_low,ci_high
phi,0.0,1.0,0.0,0.00390625,256,0.0006898821669617927,0.02179097538058252
phi,3.476098689835273,0.99609375,0.00390625,0.00392156862745098,255,0.0006925889000102634,0.021875120489777446
phi,6.9521973796705465,0.91796875,0.08203125,0.0,235,0.0,0.01608371862934413
phi,10.42829606950582,0.90234375,0.09765625,0.0,231,0.0,0.016357668871522183
phi,13.904394759341093,0.6171875,0.3828125,0.0,158,0.0,0.023735937927685885
phi,17.380493449176367,0.59765625,0.40234375,0.0,153,0.0,0.024492623631394546
D_min,10.42829606950582,1.0,0.0,0.00390625,256,0.0006898821669617927,0.02179097538058252
D_min,13.904394759341093,0.91796875,0.08203125,0.0,235,0.0,0.01608371862934413
D_min,17.380493449176367,0.6171875,0.3828125,0.0,158,0.0,0.023735937927685885
minus_W,-10.42829606950582,1.0,0.0,0.00390625,256,0.0006898821669617927,0.02179097538058252
minus_W,-6.9521973796705465,0.99609375,0.00390625,0.00392156862745098,255,0.0006925889000102634,0.021875120489777446
minus_W,-3.4760986898352733,0.90234375,0.09765625,0.0,231,0.0,0.016357668871522183
minus_W,-0.0,0.59765625,0.40234375,0.0,153,0.0,0.024492623631394546
decoder_comparative_gap,3.476098689835272,1.0,0.0,0.00390625,256,0.0006898821669617927,0.02179097538058252
decoder_comparative_gap,3.476098689835273,0.99609375,0.00390625,0.00392156862745098,255,0.0006925889000102634,0.021875120489777446
decoder_comparative_gap,10.428296069505818,0.9140625,0.0859375,0.0,234,0.0,0.016151342325856476
decoder_comparative_gap,10.42829606950582,0.62890625,0.37109375,0.0,161,0.0,0.023303960351823045
decoder_comparative_gap,17.380493449176363,0.6171875,0.3828125,0.0,158,0.0,0.023735937927685885
