score,value,retained_fraction,abort_fraction,conditional_failure,selected_patterns_or_shots,ci_low,ci_high
phi,0.0,0.00390625,0.99609375,0.0,1,0.0,0.7934506856227627
phi,3.476098689835273,0.078125,0.921875,0.05,20,0.008881448800795402,0.2361311934467421
phi,6.9521973796705465,0.015625,0.984375,0.0,4,0.0,0.4898908364545974
phi,10.42829606950582,0.28515625,0.71484375,0.0,73,0.0,0.04999200795573113
phi,13.904394759341093,0.01953125,0.98046875,0.0,5,0.0,0.43448246478317487
phi,17.380493449176367,0.59765625,0.40234375,0.0,153,0.0,0.024492623631394546
D_min,10.42829606950582,0.08203125,0.91796875,0.047619047619047616,21,0.008455987809826385,0.2266936007412257
D_min,13.904394759341093,0.30078125,0.69921875,0.0,77,0.0,0.04751842528243411
D_min,17.380493449176367,0.6171875,0.3828125,0.0,158,0.0,0.023735937927685885
minus_W,-10.42829606950582,0.00390625,0.99609375,0.0,1,0.0,0.7934506856227627
minus_W,-6.9521973796705465,0.09375,0.90625,0.041666666666666664,24,0.007393456165505796,0.20241806478655947
minus_W,-3.4760986898352733,0.3046875,0.6953125,0.0,78,3.469446951953614e-18,0.046937809712194314
minus_W,-0.0,0.59765625,0.40234375,0.0,153,0.0,0.024492623631394546
