score,target_retained,retained_fraction,abort_fraction,conditional_failure,ci_low,ci_high
phi,1.0,1.0,0.0,0.00390625,0.0006898821669617927,0.02179097538058252
phi,0.9,0.8984375,0.1015625,0.0,0.0,0.016427620833650784
phi,0.75,0.75,0.25,0.0,0.0,0.01961514606675412
phi,0.5,0.5,0.5,0.0,0.0,0.02913695627350843
D_min,1.0,1.0,0.0,0.00390625,0.0006898821669617927,0.02179097538058252
D_min,0.9,0.8984375,0.1015625,0.0,0.0,0.016427620833650784
D_min,0.75,0.75,0.25,0.0,0.0,0.01961514606675412
D_min,0.5,0.5,0.5,0.0,0.0,0.02913695627350843
minus_W,1.0,1.0,0.0,0.00390625,0.0006898821669617927,0.02179097538058252
minus_W,0.9,0.8984375,0.1015625,0.0,0.0,0.016427620833650784
minus_W,0.75,0.75,0.25,0.0,0.0,0.01961514606675412
minus_W,0.5,0.5,0.5,0.0,0.0,0.02913695627350843
